global_index,JESD204B Mode Number,L,M,F,S,K,N,NP,Coarse,Fine,Dual-Link,reg_0x01FE
0,4,2,8,6,1,32,12,12,4,6,True,0x04
1,4,2,8,6,1,32,12,12,6,4,True,0x04
2,4,2,8,6,1,32,12,12,6,6,True,0x04
3,4,2,8,6,1,32,12,12,6,8,True,0x04
4,4,2,8,6,1,32,12,12,8,3,True,0x04
5,4,2,8,6,1,32,12,12,8,4,True,0x04
6,4,2,8,6,1,32,12,12,8,6,True,0x04
7,4,2,8,6,1,32,12,12,8,8,True,0x04
8,4,2,8,6,1,32,12,12,12,2,True,0x04
9,4,2,8,6,1,32,12,12,12,3,True,0x04
10,4,2,8,6,1,32,12,12,12,4,True,0x04
11,5,2,4,4,1,32,16,16,2,8,True,0x05
12,5,2,4,4,1,32,16,16,4,4,True,0x05
13,5,2,4,4,1,32,16,16,4,6,True,0x05
14,5,2,4,4,1,32,16,16,4,8,True,0x05
15,5,2,4,4,1,32,16,16,6,4,True,0x05
16,5,2,4,4,1,32,16,16,6,6,True,0x05
17,5,2,4,4,1,32,16,16,6,8,True,0x05
18,5,2,4,4,1,32,16,16,8,2,True,0x05
19,5,2,4,4,1,32,16,16,8,3,True,0x05
20,5,2,4,4,1,32,16,16,8,4,True,0x05
21,5,2,4,4,1,32,16,16,8,6,True,0x05
22,5,2,4,4,1,32,16,16,12,2,True,0x05
23,5,2,4,4,1,32,16,16,12,3,True,0x05
24,5,2,4,4,1,32,16,16,12,4,True,0x05
25,6,2,2,2,1,32,16,16,2,3,True,0x06
26,6,2,2,2,1,32,16,16,2,4,True,0x06
27,6,2,2,2,1,32,16,16,2,6,True,0x06
28,6,2,2,2,1,32,16,16,2,8,True,0x06
29,6,2,2,2,1,32,16,16,4,2,True,0x06
30,6,2,2,2,1,32,16,16,4,3,True,0x06
31,6,2,2,2,1,32,16,16,4,4,True,0x06
32,6,2,2,2,1,32,16,16,4,6,True,0x06
33,6,2,2,2,1,32,16,16,4,8,True,0x06
34,6,2,2,2,1,32,16,16,6,2,True,0x06
35,6,2,2,2,1,32,16,16,6,3,True,0x06
36,6,2,2,2,1,32,16,16,6,4,True,0x06
37,6,2,2,2,1,32,16,16,8,1,True,0x06
38,6,2,2,2,1,32,16,16,8,2,True,0x06
39,6,2,2,2,1,32,16,16,8,3,True,0x06
40,6,2,2,2,1,32,16,16,8,4,True,0x06
41,6,2,2,2,1,32,16,16,12,1,True,0x06
42,6,2,2,2,1,32,16,16,12,2,True,0x06
43,8,3,6,4,1,32,16,16,2,8,True,0x08
44,8,3,6,4,1,32,16,16,4,4,True,0x08
45,8,3,6,4,1,32,16,16,4,6,True,0x08
46,8,3,6,4,1,32,16,16,4,8,True,0x08
47,8,3,6,4,1,32,16,16,6,4,True,0x08
48,8,3,6,4,1,32,16,16,6,6,True,0x08
49,8,3,6,4,1,32,16,16,6,8,True,0x08
50,8,3,6,4,1,32,16,16,8,2,True,0x08
51,8,3,6,4,1,32,16,16,8,3,True,0x08
