global_index,JESD204C Mode Number,L,M,F,S,K,E,N,NP,Coarse,Fine,Dual-Link,reg_0x01FE
0,0,1,8,12,1,64,3,12,12,4,6,False,0x00
1,0,1,8,12,1,64,3,12,12,6,4,False,0x00
2,0,1,8,12,1,64,3,12,12,6,8,False,0x00
3,0,1,8,12,1,64,3,12,12,8,3,False,0x00
4,0,1,8,12,1,64,3,12,12,8,4,False,0x00
5,0,1,8,12,1,64,3,12,12,8,6,False,0x00
6,0,1,8,12,1,64,3,12,12,8,8,False,0x00
7,0,1,8,12,1,64,3,12,12,12,2,False,0x00
8,0,1,8,12,1,64,3,12,12,12,4,False,0x00
9,1,1,4,8,1,32,1,16,16,2,8,True,0x01
10,1,1,4,8,1,32,1,16,16,4,4,True,0x01
11,1,1,4,8,1,32,1,16,16,4,6,True,0x01
12,1,1,4,8,1,32,1,16,16,4,8,True,0x01
13,1,1,4,8,1,32,1,16,16,6,4,True,0x01
14,1,1,4,8,1,32,1,16,16,6,6,True,0x01
15,1,1,4,8,1,32,1,16,16,6,8,True,0x01
16,1,1,4,8,1,32,1,16,16,8,2,True,0x01
17,1,1,4,8,1,32,1,16,16,8,3,True,0x01
18,1,1,4,8,1,32,1,16,16,8,4,True,0x01
19,1,1,4,8,1,32,1,16,16,8,6,True,0x01
20,1,1,4,8,1,32,1,16,16,12,2,True,0x01
21,1,1,4,8,1,32,1,16,16,12,3,True,0x01
22,1,1,4,8,1,32,1,16,16,12,4,True,0x01
23,2,1,2,4,1,64,1,16,16,2,3,True,0x02
24,2,1,2,4,1,64,1,16,16,2,4,True,0x02
25,2,1,2,4,1,64,1,16,16,2,6,True,0x02
26,2,1,2,4,1,64,1,16,16,2,8,True,0x02
27,2,1,2,4,1,64,1,16,16,4,2,True,0x02
28,2,1,2,4,1,64,1,16,16,4,3,True,0x02
29,2,1,2,4,1,64,1,16,16,4,4,True,0x02
30,2,1,2,4,1,64,1,16,16,4,6,True,0x02
31,2,1,2,4,1,64,1,16,16,4,8,True,0x02
32,2,1,2,4,1,64,1,16,16,6,2,True,0x02
33,2,1,2,4,1,64,1,16,16,6,3,True,0x02
34,2,1,2,4,1,64,1,16,16,6,4,True,0x02
35,2,1,2,4,1,64,1,16,16,8,1,True,0x02
36,2,1,2,4,1,64,1,16,16,8,2,True,0x02
37,2,1,2,4,1,64,1,16,16,8,3,True,0x02
38,2,1,2,4,1,64,1,16,16,8,4,True,0x02
39,2,1,2,4,1,64,1,16,16,12,1,True,0x02
40,2,1,2,4,1,64,1,16,16,12,2,True,0x02
41,3,2,8,8,1,32,1,16,16,2,8,True,0x03
42,3,2,8,8,1,32,1,16,16,4,4,True,0x03
43,3,2,8,8,1,32,1,16,16,4,6,True,0x03
44,3,2,8,8,1,32,1,16,16,4,8,True,0x03
45,3,2,8,8,1,32,1,16,16,6,4,True,0x03
46,3,2,8,8,1,32,1,16,16,6,6,True,0x03
47,3,2,8,8,1,32,1,16,16,6,8,True,0x03
48,3,2,8,8,1,32,1,16,16,8,2,True,0x03
49,3,2,8,8,1,32,1,16,16,8,3,True,0x03
50,3,2,8,8,1,32,1,16,16,8,4,True,0x03
51,3,2,8,8,1,32,1,16,16,8,6,True,0x03
52,3,2,8,8,1,32,1,16,16,12,2,True,0x03
53,3,2,8,8,1,32,1,16,16,12,3,True,0x03
54,3,2,8,8,1,32,1,16,16,12,4,True,0x03
55,4,2,8,6,1,128,3,12,12,2,6,True,0x04
56,4,2,8,6,1,128,3,12,12,2,8,True,0x04
57,4,2,8,6,1,128,3,12,12,4,3,True,0x04
58,4,2,8,6,1,128,3,12,12,4,4,True,0x04
59,4,2,8,6,1,128,3,12,12,4,6,True,0x04
60,4,2,8,6,1,128,3,12,12,4,8,True,0x04
61,4,2,8,6,1,128,3,12,12,6,2,True,0x04
62,4,2,8,6,1,128,3,12,12,6,3,True,0x04
63,4,2,8,6,1,128,3,12,12,6,4,True,0x04
64,4,2,8,6,1,128,3,12,12,8,2,True,0x04
65,4,2,8,6,1,128,3,12,12,8,3,True,0x04
66,4,2,8,6,1,128,3,12,12,8,4,True,0x04
67,4,2,8,6,1,128,3,12,12,8,8,True,0x04
68,4,2,8,6,1,128,3,12,12,12,1,True,0x04
69,4,2,8,6,1,128,3,12,12,12,2,True,0x04
70,5,2,4,4,1,64,1,16,16,2,3,True,0x05
71,5,2,4,4,1,64,1,16,16,2,4,True,0x05
72,5,2,4,4,1,64,1,16,16,2,6,True,0x05
73,5,2,4,4,1,64,1,16,16,2,8,True,0x05
74,5,2,4,4,1,64,1,16,16,4,2,True,0x05
75,5,2,4,4,1,64,1,16,16,4,3,True,0x05
76,5,2,4,4,1,64,1,16,16,4,4,True,0x05
77,5,2,4,4,1,64,1,16,16,4,6,True,0x05
78,5,2,4,4,1,64,1,16,16,4,8,True,0x05
79,5,2,4,4,1,64,1,16,16,6,2,True,0x05
80,5,2,4,4,1,64,1,16,16,6,3,True,0x05
81,5,2,4,4,1,64,1,16,16,6,4,True,0x05
82,5,2,4,4,1,64,1,16,16,8,1,True,0x05
83,5,2,4,4,1,64,1,16,16,8,2,True,0x05
84,5,2,4,4,1,64,1,16,16,8,3,True,0x05
85,5,2,4,4,1,64,1,16,16,8,4,True,0x05
86,5,2,4,4,1,64,1,16,16,12,1,True,0x05
87,5,2,4,4,1,64,1,16,16,12,2,True,0x05
88,6,2,2,2,1,128,1,16,16,2,1,False,0x06
89,6,2,2,2,1,128,1,16,16,2,2,False,0x06
90,6,2,2,2,1,128,1,16,16,2,3,False,0x06
91,6,2,2,2,1,128,1,16,16,2,4,False,0x06
92,6,2,2,2,1,128,1,16,16,2,6,False,0x06
93,6,2,2,2,1,128,1,16,16,4,1,False,0x06
94,6,2,2,2,1,128,1,16,16,4,2,False,0x06
95,6,2,2,2,1,128,1,16,16,4,3,False,0x06
96,6,2,2,2,1,128,1,16,16,6,1,False,0x06
97,6,2,2,2,1,128,1,16,16,6,2,False,0x06
98,6,2,2,2,1,128,1,16,16,8,1,False,0x06
99,6,2,2,2,1,128,1,16,16,12,1,False,0x06
