global_index,JESD204B Mode Number,L,M,F,S,K,N,NP,HD,Total DCM,JTX Async,JTX_MODE (0x0702 Bits[5:0]),JTX_MODE_S_SEL (0x0702 Bits[7:6]),Registers 0x0670-0x0677 Bits[3:0][2],Register 0x0728,"Register 0x00CA, Bits[5:0]",Coarse,Fine,FADC Max (GSPS),FADC Min (GSPS),Lane Rate Max (GSPS),Lane Rate Min (GSPS)
0,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,6.0,0.0,N/A[3],,0.0,5.0,3.0,3,2,4.650,2.400,15.5,8.0
1,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,6.0,1.0,,,1.0,10.0,3.0,3,2,2.400,1.450,8.0,4.833
2,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,8.0,0.0,,,0.0,5.0,4.0,2,4,6.000,3.200,15.0,8.0
3,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,8.0,0.0,,,0.0,5.0,4.0,4,2,6.000,3.200,15.0,8.0
4,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,8.0,0.0,,,1.0,10.0,4.0,2,4,3.200,1.600,8.0,4.0
5,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,8.0,0.0,,,1.0,10.0,4.0,4,2,3.200,1.600,8.0,4.0
6,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,8.0,0.0,,,2.0,20.0,4.0,2,4,1.600,1.450,4.0,3.625
7,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,8.0,0.0,,,2.0,20.0,4.0,4,2,1.600,1.450,4.0,3.625
8,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,12.0,0.0,,,0.0,5.0,6.0,3,4,6.000,4.800,10.0,8.0
9,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,12.0,0.0,,,0.0,5.0,6.0,6,2,6.000,4.800,10.0,8.0
10,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,12.0,0.0,,,1.0,10.0,6.0,3,4,4.800,2.400,8.0,4.0
11,3.01,1.0,1.0,2.0,1.0,32.0,16.0,16.0,0.0,12.0,0.0,,,1.0,10.0,6.0,6,2,4.800,2.400,8.0,4.0
