global_index,JESD204C Mode Number,L,M,F,S,K,E,N,NP,HD,Total DCM,JTX Async,JTX_MODE 0x0702 Bits[5:0],JTX_MODE_S_SEL 0x0702 Bits[7:6],Registers 0x0670-0x0677 Bits[3:0],Register 0x0728,"Register 0x00CA, Bits[5:0] ",Coarse,Fine,FADC Max (GSPS),FADC Min (GSPS),Lane Rate Max (GSPS),Lane Rate Min (GSPS)
0,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,4.0,0.0,,,0.0,11.0,4.0,2,2,6.000,1.939,24.75,8.0
1,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,4.0,0.0,,,0.0,11.0,4.0,4,1,6.000,1.939,24.75,8.0
2,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,4.0,0.0,,,1.0,22.0,4.0,2,2,1.939,1.455,8.0,6.0
3,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,4.0,0.0,,,1.0,22.0,4.0,4,1,1.939,1.455,8.0,6.0
4,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,6.0,0.0,,,0.0,11.0,6.0,3,2,6.000,2.909,16.5,8.0
5,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,8.0,0.0,,,0.0,11.0,8.0,4,2,6.000,3.879,12.375,8.0
6,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,8.0,0.0,,,1.0,22.0,8.0,4,2,3.879,2.909,8.0,6.0
7,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,12.0,0.0,,,0.0,11.0,12.0,6,2,6.000,5.818,8.25,8.0
8,3.01,1.0,1.0,2.0,1.0,128.0,1.0,16.0,16.0,0.0,16.0,0.0,,,1.0,22.0,16.0,4,4,6.000,5.818,6.188,6.0
9,21.01,1.0,1.0,3.0,2.0,256.0,3.0,12.0,12.0,0.0,2.0,1.0,,,0.0,33.0,8.0,2,1,4.000,1.450,24.75,8.972
10,21.01,1.0,1.0,3.0,2.0,256.0,3.0,12.0,12.0,0.0,4.0,1.0,,,0.0,33.0,16.0,4,1,6.000,2.586,18.562,8.0
11,21.01,1.0,1.0,3.0,2.0,256.0,3.0,12.0,12.0,0.0,12.0,0.0,,,1.0,22.0,16.0,6,2,6.000,5.818,6.188,6.0
12,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,4.0,0.0,,,0.0,11.0,4.0,2,2,6.000,1.939,24.75,8.0
13,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,4.0,0.0,,,0.0,11.0,4.0,4,1,6.000,1.939,24.75,8.0
14,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,4.0,0.0,,,1.0,22.0,4.0,2,2,1.939,1.455,8.0,6.0
15,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,4.0,0.0,,,1.0,22.0,4.0,4,1,1.939,1.455,8.0,6.0
16,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,6.0,0.0,,,0.0,11.0,6.0,3,2,6.000,2.909,16.5,8.0
17,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,8.0,0.0,,,0.0,11.0,8.0,4,2,6.000,3.879,12.375,8.0
18,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,8.0,0.0,,,1.0,22.0,8.0,4,2,3.879,2.909,8.0,6.0
19,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,12.0,0.0,,,0.0,11.0,12.0,6,2,6.000,5.818,8.25,8.0
20,3.11,1.0,1.0,4.0,2.0,64.0,1.0,16.0,16.0,0.0,16.0,0.0,,,1.0,22.0,16.0,4,4,6.000,5.818,6.188,6.0
21,21.11,1.0,1.0,6.0,4.0,128.0,3.0,12.0,12.0,0.0,4.0,1.0,,,0.0,33.0,16.0,4,1,6.000,2.586,18.562,8.0
22,21.11,1.0,1.0,6.0,4.0,128.0,3.0,12.0,12.0,0.0,2.0,1.0,,,0.0,33.0,8.0,2,1,4.000,1.450,24.75,8.972
23,21.11,1.0,1.0,6.0,4.0,128.0,3.0,12.0,12.0,0.0,12.0,0.0,,,1.0,22.0,16.0,6,2,6.000,5.818,6.188,6.0
24,21.0,1.0,2.0,3.0,1.0,256.0,3.0,12.0,12.0,0.0,2.0,1.0,21.0,0.0,0.0,33.0,4.0,2,1,2.000,1.450,24.75,17.944
25,21.0,1.0,2.0,3.0,1.0,256.0,3.0,12.0,12.0,0.0,6.0,0.0,21.0,0.0,0.0,11.0,4.0,3,2,6.000,1.939,24.75,8.0
26,21.0,1.0,2.0,3.0,1.0,256.0,3.0,12.0,12.0,0.0,6.0,0.0,21.0,0.0,0.0,11.0,4.0,6,1,6.000,1.939,24.75,8.0
27,21.0,1.0,2.0,3.0,1.0,256.0,3.0,12.0,12.0,0.0,6.0,0.0,21.0,0.0,1.0,22.0,4.0,3,2,1.939,1.455,8.0,6.0
28,21.0,1.0,2.0,3.0,1.0,256.0,3.0,12.0,12.0,0.0,6.0,0.0,21.0,0.0,1.0,22.0,4.0,6,1,1.939,1.455,8.0,6.0
29,21.0,1.0,2.0,3.0,1.0,256.0,3.0,12.0,12.0,0.0,3.0,0.0,21.0,0.0,0.0,11.0,2.0,3,1,3.000,1.450,24.75,11.963
30,21.0,1.0,2.0,3.0,1.0,256.0,3.0,12.0,12.0,0.0,4.0,1.0,21.0,0.0,0.0,33.0,8.0,4,1,4.000,1.450,24.75,8.972
31,21.0,1.0,2.0,3.0,1.0,256.0,3.0,12.0,12.0,0.0,12.0,0.0,21.0,0.0,0.0,11.0,8.0,4,3,6.000,3.879,12.375,8.0
