L,M,F,S,HD,Np,CS,DualLink,jesd_mode,Mode
1,8,16,1,0,16,0,True,204C,0
1,8,16,1,0,16,0,True,204C,1
1,8,16,1,0,16,0,True,204C,2
1,8,16,1,0,16,0,True,204C,3
1,8,16,1,0,16,0,True,204C,4
1,8,16,1,0,16,0,True,204C,5
1,8,12,1,0,12,0,True,204C,6
1,8,12,1,0,12,0,True,204C,7
1,8,12,1,0,12,0,True,204C,8
1,8,12,1,0,12,0,True,204C,9
1,8,12,1,0,12,0,True,204C,10
1,8,12,1,0,12,0,True,204C,11
1,8,12,1,0,12,0,True,204C,12
1,8,12,1,0,12,0,True,204C,13
1,4,8,1,0,16,0,True,204C,14
1,4,8,1,0,16,0,True,204C,15
1,4,8,1,0,16,0,True,204C,16
1,4,8,1,0,16,0,True,204C,17
1,4,8,1,0,16,0,True,204C,18
1,4,8,1,0,16,0,True,204C,19
1,4,8,1,0,16,0,True,204C,20
1,4,8,1,0,16,0,True,204C,21
1,4,8,1,0,16,0,True,204C,22
1,4,16,2,0,16,0,True,204C,23
1,4,16,2,0,16,0,True,204C,24
1,4,16,2,0,16,0,True,204C,25
1,4,16,2,0,16,0,True,204C,26
1,4,16,2,0,16,0,True,204C,27
1,4,16,2,0,16,0,True,204C,28
1,4,16,2,0,16,0,True,204C,29
1,4,16,2,0,16,0,True,204C,30
1,4,16,2,0,16,0,True,204C,31
1,2,4,1,0,16,0,True,204C,32
1,2,4,1,0,16,0,True,204C,33
1,2,4,1,0,16,0,True,204C,34
1,2,4,1,0,16,0,True,204C,35
1,2,4,1,0,16,0,True,204C,36
1,2,4,1,0,16,0,True,204C,37
1,2,4,1,0,16,0,True,204C,38
1,2,4,1,0,16,0,True,204C,39
1,2,4,1,0,16,0,True,204C,40
1,2,8,2,0,16,0,True,204C,41
1,2,8,2,0,16,0,True,204C,42
1,2,8,2,0,16,0,True,204C,43
1,2,8,2,0,16,0,True,204C,44
1,2,8,2,0,16,0,True,204C,45
1,2,8,2,0,16,0,True,204C,46
1,2,8,2,0,16,0,True,204C,47
1,2,8,2,0,16,0,True,204C,48
1,2,8,2,0,16,0,True,204C,49
2,8,8,1,0,16,0,True,204C,50
2,8,8,1,0,16,0,True,204C,51
2,8,8,1,0,16,0,True,204C,52
2,8,8,1,0,16,0,True,204C,53
2,8,8,1,0,16,0,True,204C,54
2,8,8,1,0,16,0,True,204C,55
2,8,8,1,0,16,0,True,204C,56
2,8,8,1,0,16,0,True,204C,57
2,8,8,1,0,16,0,True,204C,58
2,8,16,2,0,16,0,True,204C,59
2,8,16,2,0,16,0,True,204C,60
2,8,16,2,0,16,0,True,204C,61
2,8,16,2,0,16,0,True,204C,62
2,8,16,2,0,16,0,True,204C,63
2,8,16,2,0,16,0,True,204C,64
2,8,16,2,0,16,0,True,204C,65
2,8,16,2,0,16,0,True,204C,66
2,8,16,2,0,16,0,True,204C,67
2,8,6,1,0,12,0,True,204C,68
2,8,6,1,0,12,0,True,204C,69
2,8,6,1,0,12,0,True,204C,70
2,8,6,1,0,12,0,True,204C,71
2,8,6,1,0,12,0,True,204C,72
2,8,6,1,0,12,0,True,204C,73
2,8,6,1,0,12,0,True,204C,74
2,8,6,1,0,12,0,True,204C,75
