L,M,F,S,HD,Np,CS,DualLink,jesd_mode,Mode
1,4,8,1,0,16,0,False,1C,0
1,4,8,1,0,16,0,False,1C,1
1,4,8,1,0,16,0,True,1C,2
1,4,8,1,0,16,0,True,1C,3
1,4,8,1,0,16,0,False,1C,4
1,4,8,1,0,16,0,False,1C,5
1,4,8,1,0,16,0,True,1C,6
1,4,8,1,0,16,0,True,1C,7
1,4,8,1,0,16,0,False,1C,8
1,4,8,1,0,16,0,True,1C,9
2,8,8,1,0,16,0,False,3C,10
2,8,8,1,0,16,0,False,3C,11
2,8,8,1,0,16,0,True,3C,12
2,8,8,1,0,16,0,True,3C,13
2,8,8,1,0,16,0,False,3C,14
2,8,8,1,0,16,0,False,3C,15
2,8,8,1,0,16,0,True,3C,16
2,8,8,1,0,16,0,True,3C,17
2,8,8,1,0,16,0,False,3C,18
2,8,8,1,0,16,0,True,3C,19
3,12,8,1,0,16,0,False,7C,20
3,12,8,1,0,16,0,False,7C,21
3,12,8,1,0,16,0,False,7C,22
3,12,8,1,0,16,0,False,7C,23
3,12,8,1,0,16,0,False,7C,24
4,16,8,1,0,16,0,False,11C,25
4,16,8,1,0,16,0,False,11C,26
4,16,8,1,0,16,0,False,11C,27
4,16,8,1,0,16,0,False,11C,28
4,16,8,1,0,16,0,False,11C,29
1,2,4,1,0,16,0,False,2C,30
1,2,4,1,0,16,0,True,2C,31
1,2,4,1,0,16,0,False,2C,32
1,2,4,1,0,16,0,False,2C,33
1,2,4,1,0,16,0,True,2C,34
1,2,4,1,0,16,0,True,2C,35
1,2,4,1,0,16,0,False,2C,36
1,2,4,1,0,16,0,False,2C,37
1,2,4,1,0,16,0,True,2C,38
1,2,4,1,0,16,0,True,2C,39
1,2,4,1,0,16,0,False,2C,40
1,2,4,1,0,16,0,True,2C,41
1,2,4,1,0,16,0,False,2C,42
1,2,4,1,0,16,0,True,2C,43
2,4,4,1,0,16,0,False,5C,44
2,4,4,1,0,16,0,True,5C,45
2,4,4,1,0,16,0,False,5C,46
2,4,4,1,0,16,0,False,5C,47
2,4,4,1,0,16,0,True,5C,48
2,4,4,1,0,16,0,True,5C,49
2,4,4,1,0,16,0,False,5C,50
2,4,4,1,0,16,0,False,5C,51
2,4,4,1,0,16,0,True,5C,52
2,4,4,1,0,16,0,True,5C,53
2,4,4,1,0,16,0,False,5C,54
2,4,4,1,0,16,0,True,5C,55
2,4,4,1,0,16,0,False,5C,56
2,4,4,1,0,16,0,True,5C,57
3,6,4,1,0,16,0,False,8C,58
3,6,4,1,0,16,0,True,8C,59
3,6,4,1,0,16,0,False,8C,60
3,6,4,1,0,16,0,False,8C,61
3,6,4,1,0,16,0,True,8C,62
3,6,4,1,0,16,0,False,8C,63
3,6,4,1,0,16,0,False,8C,64
3,6,4,1,0,16,0,True,8C,65
3,6,4,1,0,16,0,False,8C,66
3,6,4,1,0,16,0,True,8C,67
3,6,4,1,0,16,0,False,8C,68
3,6,4,1,0,16,0,True,8C,69
4,8,4,1,0,16,0,False,9C,70
4,8,4,1,0,16,0,True,9C,71
4,8,4,1,0,16,0,False,9C,72
4,8,4,1,0,16,0,False,9C,73
4,8,4,1,0,16,0,True,9C,74
4,8,4,1,0,16,0,True,9C,75
4,8,4,1,0,16,0,False,9C,76
4,8,4,1,0,16,0,True,9C,77
4,8,4,1,0,16,0,False,9C,78
4,8,4,1,0,16,0,True,9C,79
4,8,4,1,0,16,0,False,9C,80
4,8,4,1,0,16,0,True,9C,81
6,12,4,1,0,16,0,False,14C,82
6,12,4,1,0,16,0,False,14C,83
6,12,4,1,0,16,0,False,14C,84
6,12,4,1,0,16,0,False,14C,85
6,12,4,1,0,16,0,False,14C,86
8,16,4,1,0,16,0,False,16C,87
8,16,4,1,0,16,0,False,16C,88
8,16,4,1,0,16,0,False,16C,89
8,16,4,1,0,16,0,False,16C,90
8,16,4,1,0,16,0,False,16C,91
8,16,4,1,0,16,0,False,16C,92
4,4,2,1,0,16,0,False,10C,93
4,4,2,1,0,16,0,True,10C,94
4,4,2,1,0,16,0,False,10C,95
4,4,2,1,0,16,0,True,10C,96
4,4,2,1,0,16,0,False,10C,97
4,4,2,1,0,16,0,True,10C,98
8,8,2,1,0,16,0,False,15C,99
4,2,1,1,1,16,0,False,12C,100
4,2,1,1,1,16,0,True,12C,101
4,2,1,1,1,16,0,False,12C,102
4,2,1,1,1,16,0,True,12C,103
8,4,1,1,1,16,0,False,17C,104
4,2,3,4,0,12,0,False,13C,105
4,2,3,4,0,12,0,True,13C,106
8,2,1,2,1,16,0,False,18C,107
8,2,1,2,1,16,0,False,18C,108
8,2,1,4,1,8,0,False,19C,109
8,1,1,4,1,16,0,False,20C,110
1,4,8,1,0,16,0,False,1C,111
1,4,8,1,0,16,0,False,1C,112
1,4,8,1,0,16,0,False,1C,113
1,4,8,1,0,16,0,False,1C,114
2,8,8,1,0,16,0,False,3C,115
2,8,8,1,0,16,0,False,3C,116
2,8,8,1,0,16,0,False,3C,117
